customer_choice_number,universal_style_number,division_description,department_description,class_description,subclass_description,product_tag_category_group,product_tag_activity,product_tag_style,search_color,ga_superclass,ga_activity,price,average_rating,total_reviews,product_description,activity_description
291749122,291749,WOMENS,APPAREL,SHORT WOVEN,8 UNDER,Bottoms,Run & Train; Tennis & Golf,Shorts,WHITE,bottoms,run,49.0,4.8,9501.0,"Womens Bottoms
Mesh Racer Run Mid Rise 4 Short
Color: WHITE (BRIGHT WHITE)
Activity: Run & Train; Tennis & Golf
About Fit and Sizing: Relaxed with room to move; Sits below the natural waist; Inseam: Regular/Plus: 4""
Material details: Solid Colors & Prints: 86% Recycled Polyester/14% Elastane
Fabric performance: Quick Dry; Reflective; UPF; Wrinkle Resistant
Additional features: Pockets
Collection: Mesh Racer Run
Limited Edition Drop!","FOR: Long distance, short distance, and trail running; FEEL: Recycled Featherweight Stretch™ fabric feels silky sleek and light as air; FAVE: Our no-slip waistband stays put during your toughest workouts-no tugging means you can focus on performance; Targeted mesh ventilation; Reflective details; 2 POCKETS: 1 secure zip pocket, 1 hidden key envelope pocket; Fully adjustable continuous drawstring won't get lost in the wash; Built-in brief provides extra coverage
Run & Train; Tennis & Golf"
383979152,383979,WOMENS,SWIMWEAR,SWIM BOTTOMS,BIKINI,Swim Bottoms,Hike & Explore; Swim Surf SUP,Swimwear,WHITE,swimwear,swimwear,19.97,4.5,2181.0,"Womens Swim Bottoms
Clean Medium Swim Bottom
Color: WHITE (WHITE)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: MEDIUM SEAT. Just-right coverage keeps everything you want covered, covered; MEDIUM RISE. Sits below the natural waist
Material details: Solid Colors: 75% Recycled Nylon/25% Lycra® Spandex
Fabric performance: UPF; Quick Dry
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled H₂ECO swim fabric is sleek with powerful stretch; FAVE: Clean finished waist won't pinch; Match with a range of printed and solid tops
Hike & Explore; Swim Surf SUP"
384043002,384043,WOMENS,APPAREL,SLEEVELESS KNIT,LONG,Tops,,Sleeveless Knit; Active Tops,WHITE,tops,all day active,26.4,4.6,4810.0,"Womens Tops
Breezy Tank
Color: WHITE (BRIGHT WHITE)
About Fit and Sizing: Relaxed with room to move and a high-coverage neckline; Body length in size medium: Regular: 28"" Petite: 26.5"" Tall: 29.5"" Body length in size Plus/2X: Regular: 29"" COVERS YOUR ASSETS. Longer length for more coverage
Material details: 55% TENCEL™ Modal/45% Polyester
Fabric performance: Breathable
Collection: Breezy
Best Seller","FOR: Everyday wear, travel and exploring the outdoors; FEEL: Lightweight with a linen-like texture; FAVE: Flattering, curved hemline provides more coverage
"
404783412,404783,WOMENS,APPAREL,SHORT SLEEVE KNIT,LONG,Tops,Hike & Explore; ,Short Sleeve; Active Tops,YELLOW,tops,all day active,45.0,4.5,4340.0,"Womens Tops
Breezy Scoop V Tee
Color: YELLOW (HONEYSUCKLE YELLOW)
Activity: Hike & Explore; 
About Fit and Sizing: Skims easily over the body; Body length in size medium: Regular: 28"" Petite: 26.5"" Tall: 29.5"" Body length in size Plus/2X: Regular: 29"" COVERS YOUR ASSETS. Longer length covers up your bum
Material details: TENCEL™ Modal/Polyester
Fabric performance: Breathable
Collection: Breezy
Final Sale","FOR: Travel, vacation or exploring the outdoors; FEEL: Lightweight, subtly textured fabric; FAVE: Relaxed fit is made for warm-weather adventures
Hike & Explore; "
405827042,405827,WOMENS,SWIMWEAR,BIKINI TOP,UNDERWIRE NOVELTY,Swim Tops or One Pieces,Hike & Explore; Swim Surf SUP,Swimwear,BLACK,swimwear,swimwear,34.97,4.6,1336.0,"Womens Swim Tops or One Pieces
Maldives Bra Cup Bikini Top
Color: BLACK (BLACK)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: Best for B-DD cups; HIGH SUPPORT FOR B-DD; BRA-SIZED SUPPORT. Underwire design lifts and supports like your favorite bra; HIGH COVERAGE. Our highest cut neckline keeps everything under wraps
Material details: 80% Recycled Nylon/20% Lycra® Spandex
Fabric performance: Quick Dry; UPF
Additional features: Built-In Bra
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled H₂ECO fabric is smooth and sleek with powerful stretch; FAVE: Adjustable neck and back hook for a custom fit; QUICKDRI CUPS. Our removable cups are amazing in two ways: 1) They're our fastest drying cups, ever; 2) They never fold over and maintain their perfect shape
Hike & Explore; Swim Surf SUP"
405827052,405827,WOMENS,SWIMWEAR,BIKINI TOP,UNDERWIRE NOVELTY,Swim Tops or One Pieces,Hike & Explore; Swim Surf SUP,Swimwear,BLUE,swimwear,swimwear,24.97,4.6,1336.0,"Womens Swim Tops or One Pieces
Maldives Bra Cup Bikini Top
Color: BLUE (DRESS BLUE)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: Best for B-DD cups; HIGH SUPPORT FOR B-DD; BRA-SIZED SUPPORT. Underwire design lifts and supports like your favorite bra; HIGH COVERAGE. Our highest cut neckline keeps everything under wraps
Material details: 80% Recycled Nylon/20% Lycra® Spandex
Fabric performance: Quick Dry; UPF
Additional features: Built-In Bra
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled H₂ECO fabric is smooth and sleek with powerful stretch; FAVE: Adjustable neck and back hook for a custom fit; QUICKDRI CUPS. Our removable cups are amazing in two ways: 1) They're our fastest drying cups, ever; 2) They never fold over and maintain their perfect shape
Hike & Explore; Swim Surf SUP"
405921052,405921,WOMENS,SWIMWEAR,RASHGUARDS,LONG SLEEVE,Tops,Hike & Explore; Swim Surf SUP,Swimwear; Rashguard; Active Tops,BLACK,swimwear,swimwear,44.97,4.2,258.0,"Womens Tops
North Point Rashguard
Color: BLACK (BLACK)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: Fitted; Body length in size medium: 25""
Material details: Recycled Nylon/Lycra® Spandex
Fabric performance: UPF; Quick Dry
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled H2EC0 fabric is smooth and sleek with powerful stretch; FAVE: Back pull zipper for easy on/off
Hike & Explore; Swim Surf SUP"
408458002,408458,WOMENS,ACCESSORY,BAG/CARRIER/PACK,BACKPACK,Bags; Accessories,,Bags; Accessories,BLACK,accessory,all day active,45.5,,,"Womens Bags; Accessories
All About Sling Bag
Color: BLACK (BLACK)
About Fit and Sizing: One size
Material details: 69% Polyester/31% Recycled Polyester
Fabric performance: Water Repellant
Additional features: Pockets; Adjustable Straps
Collection: All About
New In","FOR: Commuting, work, and travel; FEEL: Recycled polyester fabrication is sleek with a soft hand-feel; FAVE: Adjustable straps for a customizable fit; Interior pockets hold your essentials
"
413154112,413154,WOMENS,APPAREL,SHORT SLEEVE KNIT,LONG,Tops,,Active Tops; Short Sleeve,BLUE,tops,all day active,27.0,4.4,262.0,"Womens Tops
Essential V-Neck Tee
Color: BLUE (NAVY)
About Fit and Sizing: Relaxed with room to move; High hip, sits at the the high hip; V-neck
Material details: 90% SUPIMA® Cotton/10% Spandex
Fabric performance: Stretch; Breathable
Collection: Essential
","FOR: Commuting, work, and travel; FEEL: Lightweight SUPIMA® cotton fabrication; FAVE: An everyday essential
"
414338002,414338,WOMENS,APPAREL,TOP-WOVEN,LONG SLEEVE,Tops,; Hike & Explore,Shirts & Blouses,GREEN,tops,hike,104.3,,,"Womens Tops
Boundless Crop Popover
Color: GREEN (SHASTA GREEN)
Activity: ; Hike & Explore
About Fit and Sizing: Relaxed with room to move; High hip, sits at the high hip; Half zip
Material details: 46% Recycled Polyester/40% Polyester/14% Spandex
Fabric performance: Abrasion Resistant; Breathable; Quick Dry; Wicking
Additional features: Pockets
Collection: Boundless
New In","FOR: Layering up to and from your workout; FEEL: Lightweight Ripstop has 2-way stretch for extra mobility; FAVE: Front zip pocket secures your essentials
; Hike & Explore"
